firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name1,lastname1,November,26,1998,BS Legal Management,Smart,Female
name2,lastname2,May,26,2001,BS Management,Globe,Female
name3,lastname3,May,16,1997,BS Communications Technology,Smart,Female
name4,lastname4,December,9,1997,BS Information Technology Entrepreneurship,Smart,Male
name5,lastname5,September,5,1997,BS Communications Technology,Globe,Female
name6,lastname6,March,2,1999,BS Management,Smart,Female
name7,lastname7,November,10,1998,BS Legal Management,Globe,Female
name8,lastname8,August,28,1999,BS Management Engineering,Globe,Male
name9,lastname9,July,10,1997,BS Management Engineering,Smart,Male
name10,lastname10,September,14,2001,BS Communications Technology,Smart,Female
name11,lastname11,December,8,1998,BS Legal Management,Globe,Male
name12,lastname12,May,4,1997,BS Management Engineering,Globe,Male
name13,lastname13,January,28,1999,BS Communications Technology,Globe,Female
name14,lastname14,January,11,1999,BS Management,Globe,Female
name15,lastname15,June,6,1998,BS Information Technology Entrepreneurship,Globe,Male
name16,lastname16,April,20,1999,BS Legal Management,Smart,Male
name17,lastname17,January,3,1997,BS Information Technology Entrepreneurship,Globe,Female
name18,lastname18,April,8,1997,BS Management,Globe,Female
name19,lastname19,December,28,1997,BS Information Technology Entrepreneurship,Globe,Male
name20,lastname20,March,10,1997,BS Management Engineering,Globe,Male
name21,lastname21,July,13,1999,BS Legal Managemnet,Globe,Female
name22,lastname22,September,15,1999,BS Information Technology Entrepreneurship,Globe,Male
name23,lastname23,April,15,1997,BS Management,Globe,Male
name24,lastname24,October,1,1997,BS Management Engineering,Globe,Male
name25,lastname25,May,6,1997,BS Management Engineering,Smart,Male
name26,lastname26,December,5,1999,BS Management Engineering,Globe,Male
name27,lastname27,March,4,1997,BS Communications Technology,Globe,Female
name28,lastname28,November,10,2000,BS Legal Management,Globe,Male
name29,lastname29,October,10,1999,BS Legal Managemnet,Globe,Female
name30,lastname30,May,28,1999,BS Communications Technology,Globe,Male
name31,lastname31,April,6,1999,BS Information Technology Entrepreneurship,Smart,Male
name32,lastname32,July,16,1999,BS Management,Globe,Female
name33,lastname33,December,17,1999,BS Information Technology Entrepreneurship,Globe,Male
name34,lastname34,October,4,1999,BS Legal Management,Globe,Female
name35,lastname35,July,14,2001,BS Information Technology Entrepreneurship,Globe,Male
name36,lastname36,December,11,1998,BS Management,Smart,Male
name37,lastname37,February,2,2000,BS Management,Globe,Female
name38,lastname38,August,25,2001,BS Legal Management,Globe,Female
name39,lastname39,May,3,1997,BS Management Engineering,Globe,Male
name40,lastname40,February,27,1998,BS Legal Management,Globe,Male
name41,lastname41,November,16,1999,BS Management,Smart,Male
name42,lastname42,September,24,1998,BS Legal Management,Smart,Female
name43,lastname43,January,13,1999,BS Management,Smart,Female
name44,lastname44,February,25,1998,BS Information Technology Entrepreneurship,Globe,Male
name45,lastname45,January,27,1997,BS Management Engineering,Smart,Female
name46,lastname46,December,24,1998,BS Management Engineering,Globe,Female
name47,lastname47,August,23,1999,BS Management,Globe,Male
name48,lastname48,April,13,1999,BS Information Technology Entrepreneurship,Smart,Female
name49,lastname49,October,11,1997,BS Legal Management,Globe,Male
name50,lastname50,March,25,2001,BS Legal Management,Globe,Male
name51,lastname51,August,22,1998,BS Information Technology Entrepreneurship,Smart,Female
name52,lastname52,March,21,1999,BS Communications Technology,Smart,Female
name53,lastname53,December,15,2000,BS Management,Globe,Male
name54,lastname54,July,10,1998,BS Communications Technology,Smart,Female
name55,lastname55,May,8,1998,BS Management Engineering,Globe,Female
name56,lastname56,September,9,1998,BS Management Engineering,Globe,Male
name57,lastname57,May,9,2001,BS Communications Technology,Globe,Female
name58,lastname58,April,6,1997,BS Management Engineering,Smart,Female
name59,lastname59,April,24,1998,BS Information Technology Entrepreneurship,Globe,Male
name60,lastname60,August,26,1999,BS Information Technology Entrepreneurship,Smart,Male
name61,lastname61,September,8,1998,BS Communications Technology,Smart,Female
name62,lastname62,December,7,2000,BS Information Technology Entrepreneurship,Globe,Female
name63,lastname63,February,22,2000,BS Management Engineering,Smart,Male
name64,lastname64,November,13,1997,BS Information Technology Entrepreneurship,Globe,Female
name65,lastname65,March,23,1997,BS Management Engineering,Globe,Female
name66,lastname66,September,24,1997,BS Legal Managemnet,Globe,Female
name67,lastname67,December,9,1997,BS Communications Technology,Globe,Male
name68,lastname68,November,4,2001,BS Management,Globe,Male
name69,lastname69,November,19,1998,BS Communications Technology,Globe,Male
name70,lastname70,May,12,1998,BS Legal Management,Globe,Female
name71,lastname71,August,19,1999,BS Communications Technology,Smart,Female
name72,lastname72,December,1,1999,BS Management,Globe,Male
name73,lastname73,June,21,1998,BS Management Engineering,Smart,Male
name74,lastname74,October,25,1997,BS Legal Management,Globe,Male
name75,lastname75,September,17,1998,BS Information Technology Entrepreneurship,Globe,Male
name76,lastname76,February,2,1997,BS Communications Technology,Globe,Female
name77,lastname77,May,19,2000,BS Communications Technology,Smart,Male
name78,lastname78,September,15,2000,BS Management,Smart,Female
name79,lastname79,December,23,2000,BS Legal Managemnet,Globe,Male
name80,lastname80,August,10,1999,BS Communications Technology,Globe,Female
name81,lastname81,February,1,1997,BS Communications Technology,Smart,Male
name82,lastname82,November,22,1997,BS Communications Technology,Smart,Male
name83,lastname83,June,18,2000,BS Management Engineering,Globe,Female
name84,lastname84,February,28,1999,BS Information Technology Entrepreneurship,Globe,Female
name85,lastname85,January,10,1999,BS Legal Management,Globe,Female
name86,lastname86,November,21,1998,BS Management,Smart,Male
name87,lastname87,August,15,1998,BS Information Technology Entrepreneurship,Smart,Female
name88,lastname88,January,26,1997,BS Management Engineering,Globe,Male
name89,lastname89,March,26,1998,BS Information Technology Entrepreneurship,Globe,Female
name90,lastname90,March,15,1999,BS Information Technology Entrepreneurship,Smart,Male
name91,lastname91,August,16,1997,BS Information Technology Entrepreneurship,Smart,Female
name92,lastname92,December,8,1997,BS Management Engineering,Globe,Male
name93,lastname93,June,14,1998,BS Information Technology Entrepreneurship,Globe,Female
name94,lastname94,November,24,1997,BS Legal Management,Smart,Male
name95,lastname95,September,6,2001,BS Communications Technology,Globe,Female
name96,lastname96,March,16,1999,BS Communications Technology,Globe,Male
name97,lastname97,January,19,1997,BS Management,Smart,Female
name98,lastname98,January,10,1998,BS Information Technology Entrepreneurship,Globe,Male
name99,lastname99,May,12,1998,BS Communications Technology,Globe,Male
name100,lastname100,May,10,1999,BS Management,Globe,Female
name101,lastname101,April,2,1997,BS Communications Technology,Globe,Female
name102,lastname102,August,14,2001,BS Legal Managemnet,Smart,Male
name103,lastname103,December,16,2000,BS Management Engineering,Globe,Male
name104,lastname104,July,16,2001,BS Communications Technology,Smart,Female
name105,lastname105,March,5,1999,BS Information Technology Entrepreneurship,Globe,Male
name106,lastname106,August,25,1997,BS Communications Technology,Globe,Female
name107,lastname107,April,21,2001,BS Management,Globe,Female
name108,lastname108,May,14,1999,BS Management,Smart,Male
name109,lastname109,August,15,1998,BS Management Engineering,Globe,Female
name110,lastname110,January,8,1999,BS Management Engineering,Smart,Male
name111,lastname111,December,22,2001,BS Management Engineering,Smart,Female
name112,lastname112,May,19,1997,BS Management,Smart,Female
name113,lastname113,May,27,1997,BS Information Technology Entrepreneurship,Globe,Female
name114,lastname114,August,22,1999,BS Communications Technology,Globe,Female
name115,lastname115,March,26,1998,BS Information Technology Entrepreneurship,Globe,Male
name116,lastname116,July,19,1997,BS Information Technology Entrepreneurship,Smart,Female
name117,lastname117,January,11,1997,BS Legal Managemnet,Smart,Male
name118,lastname118,February,4,1999,BS Management Engineering,Smart,Female
name119,lastname119,December,27,1997,BS Legal Managemnet,Globe,Male
name120,lastname120,February,3,1997,BS Legal Management,Smart,Female
name121,lastname121,March,5,2000,BS Legal Management,Smart,Female
name122,lastname122,March,1,2001,BS Legal Management,Globe,Female
name123,lastname123,April,23,1999,BS Legal Management,Smart,Female
name124,lastname124,February,2,1999,BS Management,Globe,Male
name125,lastname125,November,24,1998,BS Legal Management,Globe,Female
name126,lastname126,June,4,2000,BS Legal Management,Globe,Male
name127,lastname127,March,3,2000,BS Legal Management,Globe,Male
name128,lastname128,June,20,1998,BS Legal Managemnet,Smart,Female
name129,lastname129,October,25,1998,BS Management Engineering,Globe,Male
name130,lastname130,July,18,2000,BS Management,Globe,Female
name131,lastname131,February,23,1999,BS Communications Technology,Globe,Female
name132,lastname132,September,10,1999,BS Legal Management,Globe,Male
name133,lastname133,April,18,1999,BS Communications Technology,Globe,Female
name134,lastname134,May,7,2000,BS Management,Smart,Female
name135,lastname135,October,3,1999,BS Communications Technology,Globe,Female
name136,lastname136,October,5,2000,BS Management,Globe,Male
name137,lastname137,June,5,1998,BS Management Engineering,Smart,Female
name138,lastname138,February,5,1997,BS Information Technology Entrepreneurship,Smart,Male
name139,lastname139,April,8,1999,BS Information Technology Entrepreneurship,Smart,Male
name140,lastname140,September,2,1999,BS Management Engineering,Globe,Male
name141,lastname141,June,8,1998,BS Legal Management,Globe,Male
name142,lastname142,December,3,1999,BS Legal Management,Smart,Female
name143,lastname143,November,15,1999,BS Management Engineering,Globe,Female
name144,lastname144,October,14,1998,BS Management Engineering,Globe,Male
name145,lastname145,February,9,2001,BS Management,Smart,Male
name146,lastname146,September,11,1998,BS Management,Globe,Male
name147,lastname147,December,6,1999,BS Legal Management,Globe,Male
name148,lastname148,November,13,2000,BS Legal Management,Globe,Female
name149,lastname149,September,18,1997,BS Management,Globe,Male
name150,lastname150,August,5,1997,BS Management Engineering,Smart,Female
name151,lastname151,May,17,1998,BS Legal Management,Smart,Female
name152,lastname152,March,15,1999,BS Legal Managemnet,Globe,Female
name153,lastname153,November,2,1999,BS Management Engineering,Globe,Male
name154,lastname154,August,2,1999,BS Management,Smart,Female
name155,lastname155,December,14,1999,BS Legal Managemnet,Smart,Female
name156,lastname156,April,3,1998,BS Management,Smart,Female
name157,lastname157,August,13,1997,BS Management Engineering,Globe,Male
name158,lastname158,January,28,1999,BS Legal Management,Globe,Female
name159,lastname159,October,12,1998,BS Management,Globe,Female
name160,lastname160,December,25,2000,BS Communications Technology,Globe,Female
name161,lastname161,January,1,2000,BS Communications Technology,Globe,Male
name162,lastname162,January,26,2000,BS Communications Technology,Globe,Male
name163,lastname163,April,17,1999,BS Information Technology Entrepreneurship,Globe,Female
name164,lastname164,May,25,1997,BS Information Technology Entrepreneurship,Globe,Male
name165,lastname165,August,12,1998,BS Management,Smart,Male
name166,lastname166,February,16,1999,BS Management Engineering,Smart,Female
name167,lastname167,April,4,2000,BS Management,Smart,Female
name168,lastname168,July,5,1997,BS Management Engineering,Globe,Female
